Date,Month_days,Timepoint,CO2_Forwards,Gas_Forwards,Coal_Forwards,Brent_Forwards,Elec_Forwards,Elec_Real,Elec_Projected,Compra_Spot,Compra_LP,Inteligente,Compra_Inteligente,Resultado_Compra_Inteligente
2019-01,31,229,20.73,22.13,73.36,47.38,64.25,,,,,,,
2019-02,28,230,25.02,23.91,72.52,52.94,63.13,,,,,,,
2019-03,31,231,21.84,21.43,65.88,57.37,52.1,,,,,,,
2019-04,30,232,22.18,19.02,62.61,59.13,49.5,,,,,,,
2019-05,31,233,21.81,15.01,55.05,63.67,50.29,,,,,,,
2019-06,30,234,24.6,15.85,51.39,63.58,53.8,,,,,,,
2019-07,31,235,23.66,13.57,43.88,57.72,51.9,,,,,,,
2019-08,31,236,26.85,13.52,51.29,57.11,48.8,,,,,,,
2019-09,30,237,29.41,13.35,51.05,52.86,51,,,,,,,
2019-10,31,238,25.18,13.38,52,55.96,48.5,,,,,,,
2019-11,30,239,25.03,17.18,52.6,53.52,58.2,,,,,,,
2019-12,31,240,25.28,16.15,50.44,56.53,51.75,,,,,,,
2020-01,31,241,24.33,15.79,48.42,60.28,52.3,,,,,,,
2020-02,29,242,24.24,12,44.88,56.25,46.5,,,,,,,
2020-03,31,243,23.14,9.85,42.49,48.96,37,,,,,,,
2020-04,30,244,23.48,9.26,41.94,28.6,33,,,,,,,
2020-05,31,245,16.95,7.01,39.37,16.85,23.87,,,,,,,
2020-06,30,246,19.28,6.39,33.55,25.65,29.1,,,,,,,
2020-07,31,247,20.89,6.24,38.67,35.31,29.24,,,,,,,
